date,variety_name,cut,farm_name,block_name,bed_type_name,quantity
08/04/2017,ANTIGUA,4,LA GAITANA,G-13,ANCHA,4
08/04/2017,CAROLINE_GOLD,2,LA GAITANA,G-24,ANGOSTA,1
08/04/2017,CAROLINE_GOLD,2,LA GAITANA,G-30,ANGOSTA,4
08/04/2017,CHELO,4,LA GAITANA,G-14,ANGOSTA,3
08/04/2017,DILETTA,2,LA GAITANA,G-13,ANCHA,4
08/04/2017,EXTASIS,2,LA GAITANA,G-30,ANCHA,3
08/04/2017,ILUSION,2,LA GAITANA,G-24,ANCHA,3
15/04/2017,DILETTA,2,LA GAITANA,G-13,ANCHA,7
15/04/2017,FUENTE,2,LA GAITANA,G-24,ANCHA,4
15/04/2017,ZAFIRO,4,LA GAITANA,G-27,ANGOSTA,7
15/04/2017,ZENIT,2,LA GAITANA,G-13,ANCHA,4
15/04/2017,ZENIT,2,LA GAITANA,G-14,ANCHA,1
29/04/2017,ANTIGUA,4,LA GAITANA,G-14,ANGOSTA,3
29/04/2017,LEGE_MARRONE,4,LA GAITANA,G-14,ANCHA,2
29/04/2017,HERMES,4,LA GAITANA,G-14,ANGOSTA,4
29/04/2017,ORANGE_FLAME,2,LA GAITANA,G-24,ANCHA,3
29/04/2017,ORANGE_FLAME,2,LA GAITANA,G-27,ANCHA,4
29/04/2017,ORANGE_FLAME,2,LA GAITANA,G-30,ANCHA,1
29/04/2017,TRUENO,2,LA GAITANA,G-24,ANGOSTA,1
29/04/2017,TRUENO,2,LA GAITANA,G-27,ANGOSTA,1
29/04/2017,TRUENO,2,LA GAITANA,G-30,ANCHA,3
06/05/2017,ARMONIA,2,LA GAITANA,G-13,ANCHA,2
06/05/2017,ARMONIA,4,LA GAITANA,G-14,ANCHA,1
06/05/2017,NOVIA,4,LA GAITANA,G-13,ANGOSTA,3
06/05/2017,SORRISO,2,LA GAITANA,G-13,ANGOSTA,1
06/05/2017,SORRISO,2,LA GAITANA,G-14,ANCHA,2
13/05/2017,DILETTA,2,LA GAITANA,G-13,ANCHA,1
13/05/2017,DILETTA,4,LA GAITANA,G-14,ANCHA,2
13/05/2017,FUENTE,4,LA GAITANA,G-27,ANGOSTA,18
13/05/2017,ZENIT,2,LA GAITANA,G-13,ANGOSTA,1
13/05/2017,ZENIT,2,LA GAITANA,G-14,ANGOSTA,1
13/05/2017,ZENIT,2,LA GAITANA,G-14,ANCHA,1
20/05/2017,AMOROSA,4,LA GAITANA,G-14,ANCHA,3
20/05/2017,ANTIGUA,4,LA GAITANA,G-14,ANCHA,3
20/05/2017,CHELO,4,LA GAITANA,G-14,ANCHA,5
20/05/2017,IKEBANA,2,LA GAITANA,G-24,ANCHA,7
20/05/2017,IKEBANA,2,LA GAITANA,G-27,ANCHA,1
20/05/2017,SORRISO,2,LA GAITANA,G-13,ANCHA,3
20/05/2017,VELVET,4,LA GAITANA,G-30,ANCHA,8
27/05/2017,GRANSOLE,2,LA GAITANA,G-24,ANCHA,7
27/05/2017,GRANSOLE,2,LA GAITANA,G-27,ANCHA,1
27/05/2017,GRANSOLE,3,LA GAITANA,G-24,ANCHA,4
27/05/2017,GRANSOLE,3,LA GAITANA,G-27,ANCHA,4
27/05/2017,IKEBANA,2,LA GAITANA,G-24,ANCHA,1
27/05/2017,IKEBANA,2,LA GAITANA,G-27,ANCHA,2
27/05/2017,KINO,2,LA GAITANA,G-13,ANCHA,2
27/05/2017,TINGUA,4,LA GAITANA,G-27,ANCHA,7
03/06/2017,ARMONIA,2,LA GAITANA,G-13,ANCHA,1
03/06/2017,ARMONIA,4,LA GAITANA,G-14,ANCHA,1
03/06/2017,BIZET,4,LA GAITANA,G-14,ANCHA,2
03/06/2017,FARIDA,2,LA GAITANA,G-24,ANCHA,1
03/06/2017,FARIDA,3,LA GAITANA,G-27,ANGOSTA,1
03/06/2017,FARIDA,3,LA GAITANA,G-27,ANCHA,2
03/06/2017,FARIDA,3,LA GAITANA,G-30,ANCHA,2
03/06/2017,JOBIM,4,LA GAITANA,G-14,ANGOSTA,2
03/06/2017,LEGE_MARRONE,3,LA GAITANA,G-13,ANCHA,2
03/06/2017,LEGE_MARRONE,4,LA GAITANA,G-13,ANGOSTA,4
03/06/2017,MOONLIGHT,2,LA GAITANA,G-24,ANCHA,3
03/06/2017,MOONLIGHT,2,LA GAITANA,G-27,ANCHA,1
03/06/2017,MOONLIGHT,3,LA GAITANA,G-24,ANCHA,1
03/06/2017,MOONLIGHT,3,LA GAITANA,G-27,ANCHA,3
03/06/2017,RANDAL,4,LA GAITANA,G-24,ANCHA,11
03/06/2017,EXTASIS,4,LA GAITANA,G-27,ANCHA,3
03/06/2017,RODAS,4,LA GAITANA,G-14,ANGOSTA,3
10/06/2017,ARMONIA,4,LA GAITANA,G-13,ANGOSTA,3
10/06/2017,BIZET,4,LA GAITANA,G-13,ANGOSTA,4
10/06/2017,DONCEL,4,LA GAITANA,G-24,ANCHA,8
10/06/2017,JOBIM,4,LA GAITANA,G-13,ANGOSTA,6
10/06/2017,MOONLIGHT,3,LA GAITANA,G-24,ANGOSTA,6
10/06/2017,MOONLIGHT,3,LA GAITANA,G-27,ANGOSTA,3
10/06/2017,NOVIA,4,LA GAITANA,G-14,ANCHA,2
10/06/2017,ZAFIRO,4,LA GAITANA,G-27,ANCHA,6
10/06/2017,ILUSION,2,LA GAITANA,G-24,ANCHA,3
10/06/2017,ILUSION,2,LA GAITANA,G-27,ANCHA,1
24/06/2017,ANTIGUA,4,LA GAITANA,G-13,ANCHA,4
01/07/2017,ANTIGUA,4,LA GAITANA,G-13,ANGOSTA,7
01/07/2017,CHELO,4,LA GAITANA,G-14,ANCHA,2
01/07/2017,LEGE_MARRONE,2,LA GAITANA,G-13,ANCHA,2
08/07/2017,ZAFIRO,4,LA GAITANA,G-27,ANCHA,6
08/07/2017,HERMES,4,LA GAITANA,G-14,ANGOSTA,2
08/07/2017,NAUTILUS,4,LA GAITANA,G-13,ANCHA,2
15/07/2017,ALI_BABA,4,LA GAITANA,G-14,ANCHA,2
15/07/2017,AMOROSA,2,LA GAITANA,G-14,ANCHA,1
15/07/2017,AMOROSA,4,LA GAITANA,G-14,ANCHA,2
15/07/2017,GRANSOLE,2,LA GAITANA,G-24,ANGOSTA,5
15/07/2017,GRANSOLE,2,LA GAITANA,G-30,ANGOSTA,4
15/07/2017,HAWAI,2,LA GAITANA,G-30,ANGOSTA,1
15/07/2017,HAWAI,4,LA GAITANA,G-24,ANCHA,1
15/07/2017,KINO,4,LA GAITANA,G-14,ANGOSTA,2
15/07/2017,NEW_YORK,2,LA GAITANA,G-24,ANCHA,4
15/07/2017,NEW_YORK,2,LA GAITANA,G-27,ANCHA,2
15/07/2017,NOVIA,4,LA GAITANA,G-13,ANGOSTA,3
15/07/2017,RANDAL,4,LA GAITANA,G-24,ANGOSTA,9
15/07/2017,ZENIT,4,LA GAITANA,G-14,ANGOSTA,2
15/07/2017,EXTASIS,4,LA GAITANA,G-27,ANCHA,3
15/07/2017,NEON,2,LA GAITANA,G-24,ANGOSTA,2
15/07/2017,NEON,2,LA GAITANA,G-30,ANCHA,1
15/07/2017,VELVET,4,LA GAITANA,G-27,ANGOSTA,9
22/07/2017,BIZET,4,LA GAITANA,G-14,ANCHA,1
22/07/2017,FARIDA,2,LA GAITANA,G-27,ANCHA,3
22/07/2017,FARIDA,3,LA GAITANA,G-27,ANCHA,6
22/07/2017,IKEBANA,2,LA GAITANA,G-27,ANGOSTA,1
22/07/2017,IKEBANA,2,LA GAITANA,G-30,ANGOSTA,2
22/07/2017,IKEBANA,4,LA GAITANA,G-27,ANCHA,13
22/07/2017,JOBIM,2,LA GAITANA,G-13,ANCHA,2
22/07/2017,JOBIM,2,LA GAITANA,G-14,ANGOSTA,2
22/07/2017,JOBIM,2,LA GAITANA,G-14,ANCHA,2
22/07/2017,MOONLIGHT,2,LA GAITANA,G-24,ANGOSTA,4
22/07/2017,MOONLIGHT,2,LA GAITANA,G-27,ANGOSTA,6
22/07/2017,ZAFIRO,4,LA GAITANA,G-27,ANCHA,3
22/07/2017,RODAS,4,LA GAITANA,G-14,ANCHA,2
22/07/2017,TANGELO,4,LA GAITANA,G-27,ANCHA,2
29/07/2017,ARMONIA,2,LA GAITANA,G-13,ANCHA,4
29/07/2017,HERMES,4,LA GAITANA,G-13,ANCHA,4
05/08/2017,DONCEL,4,LA GAITANA,G-24,ANCHA,8
05/08/2017,ILUSION,2,LA GAITANA,G-24,ANCHA,6
05/08/2017,ILUSION,2,LA GAITANA,G-27,ANCHA,2
12/08/2017,CHELO,2,LA GAITANA,G-13,ANCHA,2
12/08/2017,DILETTA,2,LA GAITANA,G-14,ANCHA,3
12/08/2017,FUENTE,4,LA GAITANA,G-30,ANGOSTA,18
12/08/2017,LEGE_MARRONE,2,LA GAITANA,G-13,ANCHA,3
12/08/2017,LEGE_MARRONE,2,LA GAITANA,G-14,ANCHA,2
12/08/2017,RANDAL,4,LA GAITANA,G-27,ANCHA,2
12/08/2017,TINGUA,4,LA GAITANA,G-30,ANCHA,8
12/08/2017,EXTASIS,4,LA GAITANA,G-27,ANCHA,7
12/08/2017,TANGELO,4,LA GAITANA,G-27,ANGOSTA,5
19/08/2017,HAWAI,4,LA GAITANA,G-27,ANGOSTA,1
19/08/2017,NEW_YORK,2,LA GAITANA,G-24,ANGOSTA,2
19/08/2017,NEW_YORK,4,LA GAITANA,G-27,ANCHA,4
19/08/2017,NEON,4,LA GAITANA,G-24,ANCHA,3
19/08/2017,RODAS,4,LA GAITANA,G-13,ANCHA,5
19/08/2017,TANGELO,4,LA GAITANA,G-27,ANCHA,4
26/08/2017,AMOROSA,4,LA GAITANA,G-13,ANCHA,5
26/08/2017,BIZET,4,LA GAITANA,G-13,ANCHA,2
26/08/2017,IKEBANA,4,LA GAITANA,G-30,ANGOSTA,18
26/08/2017,JOBIM,2,LA GAITANA,G-13,ANCHA,1
26/08/2017,JOBIM,2,LA GAITANA,G-14,ANCHA,1
26/08/2017,JOBIM,4,LA GAITANA,G-14,ANCHA,3
26/08/2017,NOVIA,4,LA GAITANA,G-13,ANGOSTA,6
02/09/2017,ALI_BABA,4,LA GAITANA,G-14,ANCHA,3
02/09/2017,FARIDA,3,LA GAITANA,G-24,ANCHA,1
02/09/2017,FARIDA,3,LA GAITANA,G-27,ANGOSTA,5
02/09/2017,FARIDA,3,LA GAITANA,G-30,ANGOSTA,2
02/09/2017,ZAFIRO,4,LA GAITANA,G-30,ANGOSTA,3
02/09/2017,EXTASIS,4,LA GAITANA,G-27,ANCHA,7
09/09/2017,ANTIGUA,4,LA GAITANA,G-14,ANGOSTA,5
09/09/2017,DONCEL,4,LA GAITANA,G-27,ANCHA,15
09/09/2017,ZENIT,4,LA GAITANA,G-14,ANGOSTA,3
09/09/2017,HERMES,4,LA GAITANA,G-14,ANCHA,3
09/09/2017,ILUSION,2,LA GAITANA,G-24,ANCHA,1
09/09/2017,ILUSION,2,LA GAITANA,G-30,ANCHA,7
09/09/2017,RODAS,4,LA GAITANA,G-14,ANGOSTA,3
09/09/2017,TANGELO,4,LA GAITANA,G-24,ANGOSTA,5
16/09/2017,RANDAL,4,LA GAITANA,G-30,ANGOSTA,5
23/09/2017,ZAFIRO,4,LA GAITANA,G-30,ANGOSTA,3
30/09/2017,DILETTA,4,LA GAITANA,G-14,ANGOSTA,4
30/09/2017,GRANSOLE,2,LA GAITANA,G-27,ANGOSTA,1
30/09/2017,GRANSOLE,2,LA GAITANA,G-27,ANCHA,1
30/09/2017,GRANSOLE,4,LA GAITANA,G-24,ANCHA,1
30/09/2017,IKEBANA,4,LA GAITANA,G-30,ANCHA,17
30/09/2017,NOVIA,3,LA GAITANA,G-14,ANCHA,2
07/10/2017,AMOROSA,4,LA GAITANA,G-13,ANCHA,5
07/10/2017,CHELO,4,LA GAITANA,G-14,ANGOSTA,3
07/10/2017,HAWAI,4,LA GAITANA,G-24,ANGOSTA,1
07/10/2017,NOVIA,3,LA GAITANA,G-14,ANGOSTA,3
07/10/2017,RANDAL,4,LA GAITANA,G-30,ANCHA,8
07/10/2017,ZAFIRO,4,LA GAITANA,G-27,ANCHA,7
07/10/2017,EXTASIS,4,LA GAITANA,G-30,ANGOSTA,9
14/10/2017,BIZET,3,LA GAITANA,G-13,ANCHA,2
14/10/2017,BIZET,4,LA GAITANA,G-14,ANGOSTA,1
14/10/2017,GRANSOLE,2,LA GAITANA,G-24,ANGOSTA,1
14/10/2017,GRANSOLE,2,LA GAITANA,G-24,ANCHA,3
14/10/2017,GRANSOLE,2,LA GAITANA,G-27,ANCHA,1
14/10/2017,GRANSOLE,3,LA GAITANA,G-24,ANCHA,2
14/10/2017,GRANSOLE,3,LA GAITANA,G-30,ANCHA,1
14/10/2017,JOBIM,4,LA GAITANA,G-13,ANCHA,14
14/10/2017,KINO,4,LA GAITANA,G-14,ANGOSTA,2
14/10/2017,MOONLIGHT,3,LA GAITANA,G-24,ANGOSTA,6
14/10/2017,MOONLIGHT,3,LA GAITANA,G-30,ANCHA,1
14/10/2017,TINGUA,4,LA GAITANA,G-30,ANCHA,8
14/10/2017,RODAS,3,LA GAITANA,G-14,ANGOSTA,2
14/10/2017,RODAS,3,LA GAITANA,G-14,ANCHA,3
21/10/2017,DONCEL,4,LA GAITANA,G-27,ANCHA,15
21/10/2017,MOONLIGHT,3,LA GAITANA,G-27,ANGOSTA,3
21/10/2017,MOONLIGHT,3,LA GAITANA,G-30,ANGOSTA,4
21/10/2017,ZENIT,4,LA GAITANA,G-14,ANCHA,5
21/10/2017,ILUSION,3,LA GAITANA,G-24,ANCHA,5
21/10/2017,ILUSION,3,LA GAITANA,G-27,ANCHA,2
21/10/2017,ILUSION,3,LA GAITANA,G-30,ANCHA,1
21/10/2017,TANGELO,4,LA GAITANA,G-27,ANCHA,6
28/10/2017,MOONLIGHT,3,LA GAITANA,G-30,ANGOSTA,2
28/10/2017,MOONLIGHT,4,LA GAITANA,G-24,ANGOSTA,1
28/10/2017,ZAFIRO,4,LA GAITANA,G-27,ANCHA,6
04/11/2017,EXTASIS,4,LA GAITANA,G-27,ANCHA,6
04/11/2017,NEON,2,LA GAITANA,G-27,ANGOSTA,1
04/11/2017,NEON,3,LA GAITANA,G-27,ANCHA,2
11/11/2017,IKEBANA,4,LA GAITANA,G-24,ANGOSTA,9
11/11/2017,NEW_YORK,3,LA GAITANA,G-24,ANCHA,1
11/11/2017,NEW_YORK,3,LA GAITANA,G-27,ANCHA,2
11/11/2017,TINGUA,4,LA GAITANA,G-27,ANCHA,4
18/11/2017,AMOROSA,4,LA GAITANA,G-14,ANCHA,2
18/11/2017,BIZET,3,LA GAITANA,G-14,ANCHA,2
18/11/2017,NOVIA,4,LA GAITANA,G-13,ANGOSTA,6
25/11/2017,DONCEL,4,LA GAITANA,G-30,ANGOSTA,9
25/11/2017,FARIDA,4,LA GAITANA,G-27,ANCHA,4
25/11/2017,ZAFIRO,4,LA GAITANA,G-30,ANCHA,5
25/11/2017,ILUSION,3,LA GAITANA,G-24,ANCHA,3
25/11/2017,ILUSION,3,LA GAITANA,G-27,ANGOSTA,2
02/12/2017,EXTASIS,4,LA GAITANA,G-27,ANCHA,6
09/12/2017,TINGUA,4,LA GAITANA,G-27,ANCHA,4
16/12/2017,BIZET,3,LA GAITANA,G-13,ANCHA,1
16/12/2017,BIZET,3,LA GAITANA,G-14,ANGOSTA,1
16/12/2017,BIZET,3,LA GAITANA,G-14,ANCHA,1
16/12/2017,JOBIM,4,LA GAITANA,G-14,ANCHA,4
16/12/2017,MOONLIGHT,4,LA GAITANA,G-27,ANGOSTA,27
16/12/2017,NOVIA,4,LA GAITANA,G-13,ANGOSTA,4
30/12/2017,BIZET,3,LA GAITANA,G-13,ANCHA,4
30/12/2017,CAROLINE_GOLD,2,LA GAITANA,G-27,ANCHA,1
30/12/2017,NEW_YORK,3,LA GAITANA,G-27,ANGOSTA,1
30/12/2017,NEW_YORK,3,LA GAITANA,G-30,ANCHA,2
30/12/2017,SORRISO,3,LA GAITANA,G-14,ANGOSTA,1
30/12/2017,SORRISO,3,LA GAITANA,G-14,ANCHA,6
30/12/2017,ILUSION,2,LA GAITANA,G-24,ANCHA,10
30/12/2017,ILUSION,2,LA GAITANA,G-27,ANGOSTA,1
30/12/2017,ILUSION,2,LA GAITANA,G-27,ANCHA,4
30/12/2017,ILUSION,2,LA GAITANA,G-30,ANGOSTA,6
30/12/2017,ILUSION,2,LA GAITANA,G-30,ANCHA,2
30/12/2017,NAUTILUS,3,LA GAITANA,G-13,ANCHA,10
30/12/2017,NAUTILUS,3,LA GAITANA,G-14,ANCHA,3
30/12/2017,RODAS,3,LA GAITANA,G-14,ANGOSTA,7
30/12/2017,RODAS,3,LA GAITANA,G-14,ANCHA,2
06/01/2018,ARMONIA,3,LA GAITANA,G-13,ANCHA,4
13/01/2018,ARMONIA,3,LA GAITANA,G-14,ANCHA,1
13/01/2018,GRANSOLE,2,LA GAITANA,G-30,ANCHA,2
13/01/2018,NEW_YORK,3,LA GAITANA,G-30,ANGOSTA,4
13/01/2018,SORRISO,3,LA GAITANA,G-14,ANCHA,1
13/01/2018,EXTASIS,3,LA GAITANA,G-30,ANCHA,4
13/01/2018,NAUTILUS,3,LA GAITANA,G-14,ANCHA,4
13/01/2018,NEON,3,LA GAITANA,G-24,ANCHA,1
13/01/2018,RODAS,3,LA GAITANA,G-14,ANGOSTA,4
13/01/2018,RODAS,3,LA GAITANA,G-14,ANCHA,2
13/01/2018,TRUENO,3,LA GAITANA,G-30,ANCHA,2
20/01/2018,NEW_YORK,3,LA GAITANA,G-30,ANGOSTA,5
20/01/2018,NAUTILUS,3,LA GAITANA,G-13,ANCHA,5
20/01/2018,NAUTILUS,3,LA GAITANA,G-14,ANGOSTA,6
20/01/2018,NAUTILUS,3,LA GAITANA,G-14,ANCHA,2
